age,length,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,1,0.00179,0.00154,0.00134,0.00116,0.00102,0.00090,0.00079,0.00070,0.00061,0.00054,0.00048,0.00043,0.00037,0.00033,0.00029,0.00025,0.00022
1,4,0.00018,0.00015,0.00013,0.00012,0.00010,0.00009,0.00008,0.00007,0.00006,0.00005,0.00005,0.00004,0.00004,0.00003,0.00003,0.00003,0.00002
5,5,0.00008,0.00007,0.00006,0.00005,0.00005,0.00004,0.00004,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001
10,5,0.00007,0.00006,0.00005,0.00005,0.00004,0.00004,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001
15,5,0.00014,0.00013,0.00011,0.00010,0.00009,0.00008,0.00007,0.00007,0.00006,0.00005,0.00005,0.00004,0.00004,0.00003,0.00003,0.00002,0.00002
20,5,0.00023,0.00021,0.00019,0.00017,0.00015,0.00014,0.00012,0.00011,0.00010,0.00009,0.00008,0.00007,0.00006,0.00005,0.00005,0.00004,0.00003
25,5,0.00028,0.00025,0.00023,0.00021,0.00019,0.00017,0.00015,0.00013,0.00012,0.00011,0.00010,0.00008,0.00007,0.00006,0.00006,0.00005,0.00004
30,5,0.00036,0.00032,0.00029,0.00027,0.00024,0.00022,0.00020,0.00017,0.00016,0.00014,0.00012,0.00011,0.00010,0.00008,0.00007,0.00006,0.00005
35,5,0.00050,0.00045,0.00041,0.00037,0.00034,0.00030,0.00027,0.00025,0.00022,0.00020,0.00017,0.00015,0.00013,0.00012,0.00010,0.00009,0.00008
40,5,0.00075,0.00069,0.00063,0.00057,0.00052,0.00047,0.00042,0.00038,0.00034,0.00030,0.00027,0.00024,0.00021,0.00018,0.00016,0.00014,0.00012
45,5,0.00116,0.00106,0.00097,0.00088,0.00080,0.00072,0.00065,0.00059,0.00053,0.00047,0.00042,0.00037,0.00032,0.00028,0.00024,0.00021,0.00018
50,5,0.00174,0.00159,0.00146,0.00133,0.00121,0.00109,0.00099,0.00089,0.00079,0.00071,0.00063,0.00056,0.00049,0.00043,0.00037,0.00032,0.00027
55,5,0.00246,0.00224,0.00205,0.00186,0.00170,0.00153,0.00138,0.00124,0.00111,0.00099,0.00088,0.00078,0.00068,0.00060,0.00052,0.00045,0.00038
60,5,0.00360,0.00328,0.00300,0.00272,0.00247,0.00224,0.00202,0.00181,0.00162,0.00145,0.00128,0.00114,0.00100,0.00087,0.00075,0.00065,0.00055
65,5,0.00530,0.00481,0.00438,0.00396,0.00359,0.00324,0.00292,0.00261,0.00234,0.00209,0.00185,0.00164,0.00144,0.00125,0.00108,0.00094,0.00080
70,5,0.00858,0.00775,0.00701,0.00631,0.00569,0.00510,0.00456,0.00406,0.00361,0.00320,0.00281,0.00248,0.00216,0.00187,0.00160,0.00137,0.00116
75,5,0.01581,0.01434,0.01304,0.01179,0.01067,0.00962,0.00865,0.00774,0.00692,0.00617,0.00546,0.00483,0.00424,0.00369,0.00319,0.00275,0.00234
80,5,0.03169,0.02911,0.02679,0.02452,0.02249,0.02054,0.01872,0.01699,0.01540,0.01394,0.01251,0.01126,0.01003,0.00889,0.00782,0.00688,0.00598
85,15,0.11804,0.11434,0.11096,0.10757,0.10446,0.10140,0.09847,0.09560,0.09289,0.09030,0.08770,0.08532,0.08290,0.08056,0.07825,0.07611,0.07395
